timestamp,kW,kW_scaled
2022-09-01 02:06:00,0.472,14.24657534246575
2022-09-01 02:06:31,0.456,12.054794520547947
2022-09-01 02:07:01,0.465,13.287671232876717
2022-09-01 02:07:31,0.465,13.287671232876717
2022-09-01 02:08:01,0.475,14.65753424657534
2022-09-01 02:08:31,0.454,11.780821917808222
2022-09-01 02:09:01,0.532,22.465753424657542
2022-09-01 02:09:31,0.456,12.054794520547947
2022-09-01 02:10:01,0.53,22.191780821917817
2022-09-01 02:10:30,0.466,13.42465753424658
2022-09-01 02:11:01,0.496,17.534246575342465
2022-09-01 02:11:30,0.456,12.054794520547947
2022-09-01 02:12:01,0.538,23.28767123287672
2022-09-01 02:12:31,0.456,12.054794520547947
2022-09-01 02:13:00,0.527,21.780821917808225
2022-09-01 02:13:31,0.46,12.602739726027401
2022-09-01 02:14:01,0.531,22.328767123287676
2022-09-01 02:14:30,0.457,12.19178082191781
2022-09-01 02:15:01,0.531,22.328767123287676
2022-09-01 02:15:30,0.459,12.465753424657537
2022-09-01 02:16:00,0.527,21.780821917808225
2022-09-01 02:16:30,0.457,12.19178082191781
2022-09-01 02:17:01,0.508,19.178082191780824
2022-09-01 02:17:30,0.456,12.054794520547947
2022-09-01 02:18:00,0.474,14.520547945205477
2022-09-01 02:18:30,0.47,13.972602739726025
2022-09-01 02:19:00,0.53,22.191780821917817
2022-09-01 02:19:31,0.46,12.602739726027401
2022-09-01 02:20:00,0.491,16.84931506849315
2022-09-01 02:20:31,0.458,12.328767123287674
2022-09-01 02:21:01,0.469,13.835616438356162
2022-09-01 02:21:30,0.456,12.054794520547947
2022-09-01 02:22:01,0.514,20.000000000000004
2022-09-01 02:22:31,0.452,11.506849315068495
2022-09-01 02:23:00,0.521,20.958904109589046
2022-09-01 02:23:31,0.479,15.205479452054792
2022-09-01 02:24:01,0.469,13.835616438356162
2022-09-01 02:24:30,0.459,12.465753424657537
2022-09-01 02:25:00,0.511,19.589041095890416
2022-09-01 02:25:31,0.457,12.19178082191781
2022-09-01 02:26:01,0.513,19.86301369863014
2022-09-01 02:26:31,0.465,13.287671232876717
2022-09-01 02:27:00,0.516,20.27397260273973
2022-09-01 02:27:30,0.45,11.232876712328768
2022-09-01 02:28:01,0.505,18.767123287671236
2022-09-01 02:28:30,0.458,12.328767123287674
2022-09-01 02:29:00,0.524,21.369863013698634
2022-09-01 02:29:30,0.452,11.506849315068495
2022-09-01 02:30:01,0.525,21.5068493150685
2022-09-01 02:30:31,0.469,13.835616438356162
2022-09-01 02:31:01,0.506,18.9041095890411
2022-09-01 02:31:31,0.484,15.89041095890411
2022-09-01 02:32:00,0.525,21.5068493150685
2022-09-01 02:32:31,0.453,11.643835616438357
2022-09-01 02:33:01,0.498,17.808219178082194
2022-09-01 02:33:30,0.465,13.287671232876717
2022-09-01 02:34:01,0.5,18.08219178082192
2022-09-01 02:34:31,0.462,12.876712328767127
2022-09-01 02:35:00,0.511,19.589041095890416
2022-09-01 02:35:31,0.454,11.780821917808222
2022-09-01 02:36:01,0.517,20.41095890410959
2022-09-01 02:36:30,0.456,12.054794520547947
2022-09-01 02:37:01,0.518,20.547945205479458
2022-09-01 02:37:31,0.459,12.465753424657537
2022-09-01 02:38:00,0.525,21.5068493150685
2022-09-01 02:38:31,0.465,13.287671232876717
2022-09-01 02:39:00,0.524,21.369863013698634
2022-09-01 02:39:31,0.463,13.01369863013699
2022-09-01 02:40:01,0.544,24.109589041095898
2022-09-01 02:40:31,0.461,12.739726027397264
2022-09-01 02:41:01,0.49,16.71232876712329
2022-09-01 02:41:30,0.464,13.150684931506852
2022-09-01 02:42:01,0.524,21.369863013698634
2022-09-01 02:42:31,0.46,12.602739726027401
2022-09-01 02:43:00,0.522,21.09589041095891
2022-09-01 02:43:31,0.462,12.876712328767127
2022-09-01 02:44:00,0.482,15.616438356164384
2022-09-01 02:44:30,0.465,13.287671232876717
2022-09-01 02:45:01,0.484,15.89041095890411
2022-09-01 02:45:31,0.464,13.150684931506852
2022-09-01 02:46:00,0.497,17.67123287671233
2022-09-01 02:46:31,0.453,11.643835616438357
2022-09-01 02:47:01,0.519,20.68493150684932
2022-09-01 02:47:30,0.453,11.643835616438357
2022-09-01 02:48:01,0.505,18.767123287671236
2022-09-01 02:48:31,0.47,13.972602739726025
2022-09-01 02:49:00,0.525,21.5068493150685
2022-09-01 02:49:31,0.454,11.780821917808222
2022-09-01 02:50:00,0.522,21.09589041095891
2022-09-01 02:50:31,0.471,14.109589041095887
2022-09-01 02:51:00,0.471,14.109589041095887
2022-09-01 02:51:31,0.46,12.602739726027401
2022-09-01 02:52:00,0.514,20.000000000000004
2022-09-01 02:52:30,0.476,14.794520547945204
2022-09-01 02:53:00,0.517,20.41095890410959
2022-09-01 02:53:31,0.458,12.328767123287674
2022-09-01 02:54:00,0.476,14.794520547945204
2022-09-01 02:54:31,0.451,11.369863013698632
2022-09-01 02:55:01,0.521,20.958904109589046
2022-09-01 02:55:30,0.495,17.397260273972606
2022-09-01 02:56:01,0.523,21.23287671232877
2022-09-01 02:56:31,0.464,13.150684931506852
2022-09-01 02:57:01,0.526,21.643835616438363
2022-09-01 02:57:30,0.459,12.465753424657537
2022-09-01 02:58:01,0.478,15.06849315068493
2022-09-01 02:58:30,0.459,12.465753424657537
2022-09-01 02:59:01,0.495,17.397260273972606
2022-09-01 02:59:31,0.465,13.287671232876717
2022-09-01 03:00:00,0.53,22.191780821917817
2022-09-01 03:00:31,0.466,13.42465753424658
2022-09-01 03:01:01,0.475,14.65753424657534
2022-09-01 03:01:30,0.471,14.109589041095887
2022-09-01 03:02:01,0.498,17.808219178082194
2022-09-01 03:02:30,0.452,11.506849315068495
2022-09-01 03:03:01,0.472,14.24657534246575
2022-09-01 03:03:31,0.469,13.835616438356162
2022-09-01 03:04:00,0.525,21.5068493150685
2022-09-01 03:04:30,0.467,13.561643835616444
2022-09-01 03:05:01,0.559,26.164383561643845
2022-09-01 03:05:30,0.46,12.602739726027401
2022-09-01 03:06:00,0.493,17.123287671232877
2022-09-01 03:06:31,0.48,15.342465753424655
2022-09-01 03:07:00,0.472,14.24657534246575
2022-09-01 03:07:30,0.478,15.06849315068493
2022-09-01 03:08:01,0.513,19.86301369863014
2022-09-01 03:08:30,0.453,11.643835616438357
2022-09-01 03:09:00,0.485,16.027397260273972
2022-09-01 03:09:31,0.469,13.835616438356162
2022-09-01 03:10:00,0.524,21.369863013698634
2022-09-01 03:10:31,0.453,11.643835616438357
2022-09-01 03:11:00,0.494,17.26027397260274
2022-09-01 03:11:30,0.464,13.150684931506852
2022-09-01 03:12:01,0.493,17.123287671232877
2022-09-01 03:12:30,0.477,14.931506849315067
2022-09-01 03:13:01,0.513,19.86301369863014
2022-09-01 03:13:31,0.47,13.972602739726025
2022-09-01 03:14:01,0.519,20.68493150684932
2022-09-01 03:14:31,0.458,12.328767123287674
2022-09-01 03:15:00,0.516,20.27397260273973
2022-09-01 03:15:31,0.455,11.917808219178085
2022-09-01 03:16:00,0.477,14.931506849315067
2022-09-01 03:16:30,0.46,12.602739726027401
2022-09-01 03:17:01,0.497,17.67123287671233
2022-09-01 03:17:30,0.461,12.739726027397264
2022-09-01 03:18:00,0.495,17.397260273972606
2022-09-01 03:18:31,0.479,15.205479452054792
2022-09-01 03:19:00,0.524,21.369863013698634
2022-09-01 03:19:30,0.455,11.917808219178085
2022-09-01 03:20:01,0.541,23.69863013698631
2022-09-01 03:20:30,0.453,11.643835616438357
2022-09-01 03:21:01,0.53,22.191780821917817
2022-09-01 03:21:31,0.457,12.19178082191781
2022-09-01 03:22:00,0.523,21.23287671232877
2022-09-01 03:22:31,0.452,11.506849315068495
2022-09-01 03:23:01,0.462,12.876712328767127
2022-09-01 03:23:30,0.472,14.24657534246575
2022-09-01 03:24:01,0.53,22.191780821917817
2022-09-01 03:24:30,0.457,12.19178082191781
2022-09-01 03:25:01,0.542,23.835616438356173
2022-09-01 03:25:31,0.454,11.780821917808222
2022-09-01 03:26:01,0.497,17.67123287671233
2022-09-01 03:26:30,0.461,12.739726027397264
2022-09-01 03:27:01,0.528,21.917808219178088
2022-09-01 03:27:30,0.456,12.054794520547947
2022-09-01 03:28:01,0.523,21.23287671232877
2022-09-01 03:28:31,0.455,11.917808219178085
2022-09-01 03:29:00,0.478,15.06849315068493
2022-09-01 03:29:30,0.451,11.369863013698632
2022-09-01 03:30:01,0.539,23.424657534246585
2022-09-01 03:30:31,0.459,12.465753424657537
2022-09-01 03:31:00,0.514,20.000000000000004
2022-09-01 03:31:31,0.478,15.06849315068493
2022-09-01 03:32:01,0.523,21.23287671232877
2022-09-01 03:32:30,0.453,11.643835616438357
2022-09-01 03:33:01,0.48,15.342465753424655
2022-09-01 03:33:31,0.451,11.369863013698632
2022-09-01 03:34:00,0.516,20.27397260273973
2022-09-01 03:34:31,0.451,11.369863013698632
2022-09-01 03:35:01,0.534,22.739726027397268
2022-09-01 03:35:31,0.458,12.328767123287674
2022-09-01 03:36:00,0.484,15.89041095890411
2022-09-01 03:36:31,0.463,13.01369863013699
2022-09-01 03:37:01,0.476,14.794520547945204
2022-09-01 03:37:30,0.47,13.972602739726025
2022-09-01 03:38:01,0.509,19.31506849315069
2022-09-01 03:38:30,0.458,12.328767123287674
2022-09-01 03:39:00,0.48,15.342465753424655
2022-09-01 03:39:31,0.454,11.780821917808222
2022-09-01 03:40:00,0.521,20.958904109589046
2022-09-01 03:40:31,0.483,15.753424657534245
2022-09-01 03:41:01,0.509,19.31506849315069
2022-09-01 03:41:30,0.46,12.602739726027401
2022-09-01 03:42:00,0.521,20.958904109589046
2022-09-01 03:42:31,0.453,11.643835616438357
2022-09-01 03:43:00,0.518,20.547945205479458
2022-09-01 03:43:30,0.454,11.780821917808222
2022-09-01 03:44:01,0.507,19.04109589041096
2022-09-01 03:44:31,0.453,11.643835616438357
2022-09-01 03:45:00,0.516,20.27397260273973
